interval_begin;interval_end;interval_id;edge_id;lane_arrived;lane_density;lane_departed;lane_entered;lane_id;lane_laneChangedFrom;lane_laneChangedTo;lane_laneDensity;lane_left;lane_occupancy;lane_overlapTraveltime;lane_sampledSeconds;lane_speed;lane_speedRelative;lane_timeLoss;lane_traveltime;lane_waitingTime
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#0;0;4.02;0;113;-100289765#0_0;0;0;4.02;113;1.79;5.03;568.49;8.80;0.63;153.88;4.32;51.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#1;0;3.45;20;93;-100289765#1_0;0;0;3.45;113;1.55;4.42;489.36;10.05;0.72;129.47;4.01;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#2;0;104.56;0;83;-100289765#2_0;0;0;104.56;83;2.01;0.91;75.28;5.73;0.41;43.54;0.04;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#0;10;0.56;0;20;-100289774#0_0;0;0;0.56;10;0.25;4.53;89.70;10.90;0.78;15.24;3.95;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#1;10;0.72;0;30;-100289774#1_0;0;0;0.72;20;0.33;4.10;122.04;12.64;0.91;11.49;3.71;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#2;0;2.13;0;40;-100289774#2_0;0;0;2.13;40;0.94;9.41;376.33;5.76;0.41;216.93;8.17;127.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#3;0;9.24;10;153;-100289774#3_0;0;0;9.24;163;4.23;8.19;1324.86;5.48;0.39;710.75;7.31;337.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#4;0;4.49;0;113;-100289774#4_0;0;0;4.49;113;2.06;7.33;828.81;7.68;0.55;363.20;6.84;151.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289777;10;0.35;0;10;-100289777_0;0;0;0.35;0;0.14;3.30;32.41;9.34;0.67;10.99;2.87;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#0;0;13.03;0;369;-100289779#0_0;0;0;13.03;369;5.30;2.95;1088.47;9.56;0.69;334.00;2.37;62.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#2;0;8.82;0;336;-100289779#2_0;0;0;8.82;336;4.19;9.96;3345.71;11.08;0.80;651.44;9.53;96.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#3;0;3.09;0;130;-100289779#3_0;0;0;3.09;130;1.48;10.86;1411.96;12.16;0.88;172.57;10.43;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#4;0;1.96;0;70;-100289779#4_0;0;0;1.96;70;0.83;2.92;204.24;11.63;0.84;30.31;2.51;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#5;0;2.85;10;70;-100289779#5_0;0;0;2.85;80;1.17;2.63;204.75;9.52;0.69;50.50;2.10;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289780;10;0.88;20;10;-100289780_0;0;0;0.88;20;0.43;14.79;432.23;9.53;0.69;123.05;14.08;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#0;10;1.46;10;40;-100289784#0_0;0;0;1.46;40;0.70;15.81;784.53;9.74;0.70;200.54;14.97;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#1;0;0.83;0;30;-100289784#1_0;0;0;0.83;30;0.37;4.70;140.92;11.14;0.80;27.31;4.30;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289793;0;36.19;10;11;-100289793_0;0;0;36.19;21;0.71;1.26;26.06;4.11;0.30;14.05;0.03;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#1;0;1.36;10;10;-100289802#1_0;0;0;1.36;20;0.60;6.72;122.99;4.48;0.32;70.51;5.49;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#2;0;0.33;0;10;-100289802#2_0;0;0;0.33;10;0.15;6.21;62.13;9.28;0.67;22.72;5.60;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289812#1;0;3.80;10;50;-100289812#1_0;0;0;3.80;60;1.80;11.26;665.09;4.76;0.34;427.15;10.51;148.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289829;10;0.75;0;30;-100289829_0;0;0;0.75;20;0.36;17.01;509.55;11.35;0.82;87.04;16.31;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#0;10;18.35;0;382;-100289830#0_0;0;0;18.35;372;7.83;4.36;1663.37;6.92;0.50;826.36;3.40;422.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#2;0;15.74;0;382;-100289830#2_0;0;0;15.74;382;5.25;1.46;555.98;10.18;0.73;144.44;0.99;34.70
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#3;0;12.75;0;382;-100289830#3_0;0;0;12.75;382;5.30;3.14;1199.38;9.92;0.71;334.06;2.70;80.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289832#0;0;43.75;1;55;-100289832#0_0;0;0;43.75;33;21.80;641.78;28069.12;0.29;0.02;27464.79;635.95;26227.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289832#1;0;92.93;1;54;-100289832#1_0;0;0;92.93;55;1.78;1.24;66.91;4.19;0.30;46.36;0.06;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289857;0;22.29;10;10;-100289857_0;0;0;22.29;12;11.11;310.37;4712.57;0.21;0.01;4628.21;301.93;4444.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289865#0;0;55.77;0;16;-100289865#0_0;0;0;55.77;9;27.68;1114.80;9902.80;0.05;0.00;9865.64;1033.26;9655.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289865#1;0;47.44;0;32;-100289865#1_0;0;0;47.44;25;23.65;320.70;8772.24;0.18;0.01;8652.38;315.04;8417.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#0;17;0.37;0;17;-100289866#0_0;0;0;0.37;0;0.18;15.20;256.73;12.88;0.93;15.47;14.82;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#1;0;0.42;0;17;-100289866#1_0;0;0;0.42;17;0.20;11.68;198.62;11.67;0.84;29.42;11.06;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#2;0;0.40;0;17;-100289866#2_0;0;0;0.40;17;0.19;10.96;186.38;12.27;0.88;19.50;10.58;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289874#1;0;3.87;0;24;-100289874#1_0;0;0;3.87;24;1.88;23.64;567.48;1.93;0.14;486.52;22.79;386.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289874#2;10;1.41;10;29;-100289874#2_0;0;0;1.41;29;0.63;6.00;226.96;8.26;0.59;85.50;5.39;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289875;0;0.97;20;0;-100289875_0;0;0;0.97;20;0.46;11.18;205.92;5.74;0.41;108.67;10.33;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289880#0;10;0.49;0;20;-100289880#0_0;0;0;0.49;10;0.23;11.34;226.26;11.77;0.85;30.66;10.72;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289880#1;20;1.50;0;58;-100289880#1_0;0;0;1.50;38;0.69;10.02;578.91;11.20;0.81;103.57;9.17;17.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289884#0;0;0.27;0;10;-100289884#0_0;0;0;0.27;10;0.13;11.23;112.30;10.75;0.77;19.35;10.45;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289884#1;0;3.28;0;70;-100289884#1_0;0;0;3.28;70;1.51;8.13;569.02;6.54;0.47;278.20;7.34;68.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289887#0;0;64.27;0;85;-100289887#0_0;0;0;64.27;73;32.04;285.02;20162.72;0.32;0.02;19651.93;282.06;18793.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289887#1;0;54.66;21;60;-100289887#1_0;0;0;54.66;77;25.93;69.52;5081.11;0.44;0.03;4917.31;69.17;4756.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289887#2;0;47.24;5;70;-100289887#2_0;0;0;47.24;58;23.59;336.98;22434.27;0.41;0.03;21771.99;334.74;21042.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289887#3;0;2.20;10;60;-100289887#3_0;0;0;2.20;70;1.06;18.56;1293.90;9.06;0.65;448.25;17.80;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289887#4;0;3.42;60;0;-100289887#4_0;0;0;3.42;60;1.06;2.25;71.11;4.78;0.34;46.79;1.73;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289893#0;0;1.72;10;40;-100289893#0_0;0;0;1.72;50;0.78;7.14;350.86;8.63;0.62;98.38;6.25;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289893#1;0;1.48;30;10;-100289893#1_0;0;0;1.48;40;0.70;7.01;260.45;7.67;0.55;109.29;6.53;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#0;0;58.19;0;160;-100289894#0_0;0;0;58.19;160;4.49;1.19;190.65;4.96;0.36;36.19;0.19;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#1;0;25.09;10;150;-100289894#1_0;0;0;25.09;160;4.23;1.44;224.87;5.22;0.38;121.85;0.44;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#2;0;2.28;10;60;-100289894#2_0;0;0;2.28;70;1.05;6.24;431.57;9.21;0.66;143.91;5.60;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#4;0;1.77;10;50;-100289894#4_0;0;0;1.77;60;0.80;4.29;252.61;10.40;0.75;61.89;3.86;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#5;0;2.40;10;70;-100289894#5_0;0;0;2.40;80;1.09;5.45;430.79;10.07;0.72;100.86;4.88;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#6;0;1.84;20;40;-100289894#6_0;0;0;1.84;60;0.85;4.75;274.37;9.79;0.71;77.77;4.33;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#7;0;1.24;0;40;-100289894#7_0;0;0;1.24;40;0.55;5.20;208.02;9.91;0.71;57.84;4.80;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-1017426837;10;3.65;0;10;-1017426837_0;0;0;3.65;0;0.13;1.08;5.13;4.97;0.36;3.29;0.08;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-1095740302;10;1.88;0;79;-1095740302_0;0;0;1.88;69;0.90;23.32;1842.23;11.91;0.43;967.38;21.84;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-115090421;10;0.31;0;10;-115090421_0;0;0;0.31;0;0.13;4.32;43.19;10.07;0.72;11.76;3.93;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847237;0;1.23;20;0;-124847237_0;0;0;1.23;20;0.61;29.30;563.39;4.50;0.32;366.46;28.22;161.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847241;40;0.96;0;40;-124847241_0;0;0;0.96;0;0.46;12.29;488.11;11.88;0.86;80.10;11.91;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847242;0;7.87;40;0;-124847242_0;0;0;7.87;32;3.92;98.11;3579.21;1.34;0.10;3220.67;96.80;2844.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847246;1;0.02;0;1;-124847246_0;0;0;0.02;0;0.01;13.11;12.81;11.49;0.83;1.86;12.70;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847247;0;7.10;70;0;-124847247_0;0;0;7.10;60;3.52;50.22;3230.24;2.62;0.19;2605.40;48.97;1789.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847260#0;0;6.06;0;30;-124847260#0_0;0;0;6.06;30;2.93;24.09;722.62;1.58;0.11;627.31;23.23;519.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847260#1;0;0.40;10;0;-124847260#1_0;0;0;0.40;10;0.18;5.16;44.27;6.99;0.50;20.92;4.50;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847263#0;0;80.12;10;15;-124847263#0_0;0;0;80.12;20;39.24;677.64;11474.50;0.07;0.00;11412.32;643.50;11109.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847277#1;0;71.91;20;100;-124847277#1_0;0;0;71.91;120;33.49;40.80;4379.88;0.54;0.04;4182.40;39.87;3739.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847277#2;0;60.61;10;51;-124847277#2_0;0;0;60.61;52;30.22;268.73;14980.04;0.27;0.02;14676.19;265.82;13701.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847277#3;0;21.51;10;13;-124847277#3_0;0;0;21.51;21;10.68;75.55;1521.50;0.33;0.02;1484.98;75.66;1425.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847277#4;0;21.01;15;0;-124847277#4_0;0;0;21.01;13;10.47;134.64;1498.57;0.18;0.01;1478.30;139.62;1431.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#0;20;0.46;0;20;-124847280#0_0;0;0;0.46;0;0.22;12.88;256.81;12.47;0.90;26.44;12.50;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#1;0;1.05;0;20;-124847280#1_0;0;0;1.05;20;0.39;2.91;58.21;7.02;0.51;18.96;2.23;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#2;0;0.09;0;2;-124847280#2_0;0;0;0.09;2;0.03;3.60;7.19;7.72;0.56;2.12;2.68;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#3;0;0.97;0;20;-124847280#3_0;0;0;0.97;20;0.39;4.65;93.04;6.80;0.49;37.40;3.69;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#4;0;7.82;0;76;-124847280#4_0;0;0;7.82;76;2.55;2.62;198.93;4.61;0.33;82.94;1.57;27.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#5;0;79.96;0;76;-124847280#5_0;0;0;79.96;76;1.54;0.76;57.57;6.86;0.49;29.00;0.03;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#6;0;1.06;20;0;-124847280#6_0;0;0;1.06;20;0.51;11.44;209.36;5.25;0.38;128.19;10.56;3.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-235501417#2;0;0.64;0;20;-235501417#2_0;0;0;0.64;20;0.29;7.77;155.38;9.36;0.67;42.63;6.88;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-235501417#3;0;0.23;0;10;-235501417#3_0;0;0;0.23;10;0.11;3.88;38.83;13.16;0.95;1.90;3.51;0.00
